quiz;question_no;question;choice_A;choice_B;choice_C;choice_D;correct_letter;hint
"Technologie & Ethik";1;"Warum soll man sich mit Technologie beschäftigen?";"Weil Technologie nur Unterhaltung ist";"Weil Technologie Arbeit, Kommunikation und Entscheidungen prägt und Folgen hat";"Weil Technologie immer moralisch richtig handelt";"Weil Technologie nur Technik-Fachleute betrifft";B;""
"Technologie & Ethik";2;"Was ist ein zentraler Zweck von Ethik laut Notizen?";"Diskussionen zu beenden";"Gutes Handeln zu reflektieren und ein gutes Leben für alle zu unterstützen";"Gesetze überflüssig zu machen";"Technik vollständig zu ersetzen";B;""
"Technologie & Ethik";3;"Welcher Punkt ist ein Vorteil, wenn Unternehmen ethisch handeln?";"Schlechtere Produktqualität";"Vertrauenswürdiges Markenimage";"Mehr Intransparenz";"Weniger Verantwortung";B;""
"Technologie & Ethik";4;"Welche Frage gehört zu „Technologie und moralisches Handeln“?";"Wie schnell ist ein Algorithmus?";"Was passiert, wenn eine Maschine moralisch relevante Handlungen ausführt?";"Wie viele Daten hat ein Unternehmen?";"Welche Programmiersprache ist am besten?";B;""
"Technologie & Ethik";5;"Welche Herausforderung wird bei vielen Beteiligten an einem System betont?";"Niemand kann jemals verantwortlich sein";"Verantwortung wird komplex, weil viele Entwickler beteiligt sind";"Verantwortung liegt immer nur bei Nutzern";"Verantwortung liegt immer nur beim Staat";B;""
"Technologie & Ethik";6;"Was bedeutet „Technologie ist wertneutral“?";"Technologie ist grundsätzlich gut";"Technologie ist ein Mittel zum Zweck; moralisch wird es durch Nutzung";"Technologie ist grundsätzlich böse";"Technologie enthält nie Risiken";B;""
"Technologie & Ethik";7;"Welches Beispiel passt zur wertneutralen Sicht?";"Soziale Medien fördern immer Hass";"Eine Waffe ist an sich böse";"Entscheidend ist, wie eine Waffe genutzt wird";"Technik kann nicht missbraucht werden";C;""
"Technologie & Ethik";8;"Was bedeutet „Technologie ist wertbeladen“?";"Technologie verstärkt keine Werte";"Technologie kann bestimmte Werte/Handlungen verstärken";"Technologie ist immer identisch mit Moral";"Technologie ist rein zufällig";B;""
"Technologie & Ethik";9;"Welches Beispiel passt zur wertbeladenen Sicht?";"Social Media kann Hass oder Zusammenhalt fördern – je nach Nutzung";"Ein Hammer ist immer unmoralisch";"Ein Algorithmus hat nie Einfluss";"Technik ist immer neutral";A;""
"Technologie & Ethik";10;"Was beschreibt die instrumentelle Sicht auf Technologie am besten?";"Technologie ist nur Besitz";"Technologie dient zur Problemlösung; Menschen entscheiden über Einsatz";"Technologie ist reine Natur";"Technologie verhindert Entscheidungen";B;""
"Technologie & Ethik";11;"Welche Aussage gehört zur instrumentellen Sicht laut Notizen?";"Menschen entscheiden, wie Technologie eingesetzt wird";"Technik entscheidet immer selbst";"Technik ist nur moralische Theorie";"Technik ist unabhängig vom Menschen";A;""
"Technologie & Ethik";12;"Was meint die anthropologische Sicht?";"Technologie verändert Menschen nicht";"Technologie ist Teil unseres Lebens und verändert Erfahrungen und Fähigkeiten";"Technologie betrifft nur Fabriken";"Technologie ist ausschließlich Hardware";B;""
"Technologie & Ethik";13;"Welches Beispiel zeigt anthropologischen Einfluss besonders direkt?";"Bodenschwellen zwingen uns langsamer zu fahren";"Ein Stuhl steht im Raum";"Papier ist weiß";"Ein Passwort ist lang";A;""
"Technologie & Ethik";14;"Welches Beispiel aus den Notizen verändert unser Verständnis von Schwangerschaft?";"Warnton im Auto";"Ultraschallbilder";"Bodenschwellen";"NFTs";B;""
"Technologie & Ethik";15;"Was zeigt das Beispiel COVID-19/Zoom in den Notizen?";"Technik ist immer transparent";"Präsenz/Anwesenheit verändert sich durch digitale Vermittlung";"Ethik ist unnötig";"Algorithmen sind immer fair";B;""
"Technologie & Ethik";16;"Was ist „Entkopplung (Decoupling)“?";"Technik verbindet alles wie früher";"Technik trennt Dinge, die früher zusammengehörten";"Technik schafft keine neuen Beziehungen";"Technik macht alles automatisch gerecht";B;""
"Technologie & Ethik";17;"Welches Beispiel steht explizit für Entkopplung?";"Ultraschallbild";"Zoom-Meeting: anwesend, aber nicht am selben Ort";"Warnton im Auto";"Bodenschwelle";B;""
"Technologie & Ethik";18;"Was ist „Wiederverknüpfung (Recoupling)“?";"Technik zerstört Zusammenhänge dauerhaft";"Technik verbindet entkoppelte Dinge auf neue Weise";"Technik verhindert jede Interaktion";"Technik macht Analoges irrelevant";B;""
"Technologie & Ethik";19;"Welche Entkopplungs-/Wiederverknüpfungs-Paarung wird genannt?";"Temperatur ↔ Farbe";"Digitale Güter ↔ Physische Güter";"Lärm ↔ Geschmack";"Wetter ↔ Musik";B;""
"Technologie & Ethik";20;"Worum geht es beim Problem „Digitale Güter ↔ Physische Güter“?";"Wie man NFTs bewertet und welche Folgen entstehen";"Warum Zoom illegal ist";"Warum Daten nie gespeichert werden dürfen";"Warum Algorithmen keine Muster erkennen";A;""
"Technologie & Ethik";21;"Welche Risiken werden bei digitalen Gütern (z. B. NFTs) genannt?";"Betrug, ungleicher Zugang, Umweltschäden";"Nur schnellerer Versand";"Nur bessere Privatsphäre";"Keine Risiken, nur Nutzen";A;""
